Choices,en,bn,ur,ar,sw,th,es,pt,fr,ru,km,my,id,ha,tl
Yes,Yes,হ্যাঁ,ہاں,نعم,Ndiyo,ใช่,Sí,Sim,Oui,Да,បាទ/ចាស៎,ဟုတ္ကဲ့,Iya,E,Oo
No,No,না,نہیں,لا,La,ไม่ใช่,No,Não,Non,Нет,ទេ,မဟုတ္ပါ,Tidak,A'a,Hindi
Maybe,Maybe,হয়তো,شاید,ربما,Pengine,อาจจะ,Tal vez,Talvez,Peut être,Возможно,ប្រហែល,ျဖစ္ႏိုင္သည္,Mungkin,Mai yiwuwa,Baka
