Choices,en,bn,ur,ar,sw,th,es,pt,fr,ru,km,my
No,Keep Trying,চেষ্টা করতে থাকো,کوشش جاری رکھیں,استمري في المحاولة,Endelea Kujaribu,ลองต่อไป,Sigue intentando,Continua a tentar,Continue d'essayer,Продолжай попытки,បន្ត​ការ​ព្យាយាម,ဆက္လက္ႀကိဳးစားပါ
Maybe,You'll Get There ,তুমি সফল হবে ,آپ وہاں جائیں گے ,سوف تصلين إلى ما تريدينه ,Utafika Huko ,คุณจะต้องทำได้ ,Ya lo lograrás ,Vais conseguir ,Tu y arrivears ,У тебя все получится ,លោកអ្នកនឹងទៅដល់ទីនោះ ,သင္ ဤေနရာတြင္ရရွိမည္ 
Yes,Go Girl!,তুমিই পারবে!,گو گرل!,انطلقي أيتها الفتاة!,Nenda Msichana!,ลุยเลย!,"¡Tú puedes, niña!",Vamos Lá!,Vas-y ma fille ?,"Вперед, девчонка!",បំពេញកិច្ចការបានល្អ!,သြားပါ မိန္းကေလး!
